2026-02-27 12:01:07 [info]: Server started on http://localhost:5173
2026-02-27 12:03:17 [info]: Server started on http://localhost:5173
2026-02-27 12:32:23 [info]: Server started on http://localhost:5000
2026-02-27 12:32:42 [info]: Server started on http://localhost:5000
2026-02-27 12:33:01 [info]: Server started on http://localhost:5000
2026-02-27 12:34:23 [info]: Server started on http://localhost:5050
2026-02-27 16:29:57 [info]: GET / 304 - 1ms
2026-02-27 16:29:57 [info]: GET / 304 - 1ms
2026-02-27 16:29:58 [info]: GET / 304 - 1ms
2026-02-27 16:30:02 [info]: GET / 304 - 1ms
2026-02-27 16:30:02 [info]: GET / 304 - 0ms
2026-02-27 16:30:09 [info]: GET /health 200 - 2ms
2026-02-27 16:30:19 [info]: GET / 304 - 1ms
2026-02-27 16:30:21 [info]: GET / 304 - 1ms
2026-02-27 16:34:28 [info]: Server started on http://localhost:5050
2026-02-27 16:34:39 [info]: GET / 200 - 14ms
2026-02-27 16:34:53 [info]: Server started on http://localhost:5050
2026-02-27 16:34:54 [info]: GET / 200 - 5ms
2026-02-27 16:35:05 [info]: Server started on http://localhost:5050
2026-02-27 16:35:05 [info]: GET / 200 - 3ms
2026-02-27 16:58:30 [info]: Server started on http://localhost:5050
2026-02-27 17:29:47 [info]: GET / 304 - 28ms
2026-02-27 17:29:47 [info]: GET / 304 - 1ms
2026-02-27 17:29:47 [info]: GET / 304 - 0ms
2026-02-27 17:29:48 [info]: GET / 304 - 1ms
2026-02-27 17:29:48 [info]: GET / 304 - 1ms
2026-02-27 17:31:48 [info]: GET / 304 - 11ms
2026-02-27 17:31:48 [info]: GET / 304 - 1ms
2026-02-27 17:31:49 [info]: GET / 304 - 1ms
2026-02-27 17:31:49 [info]: GET / 304 - 1ms
2026-02-27 17:39:12 [info]: GET / 304 - 16ms
2026-02-27 17:46:01 [info]: GET / 304 - 10ms
2026-02-27 17:46:01 [info]: GET / 304 - 0ms
2026-02-27 17:46:01 [info]: GET / 304 - 0ms
2026-02-27 17:46:02 [info]: GET / 304 - 0ms
2026-02-27 17:46:02 [info]: GET / 304 - 1ms
2026-02-27 17:46:03 [info]: GET / 304 - 1ms
2026-02-27 17:46:03 [info]: GET / 304 - 1ms
2026-02-27 18:02:26 [info]: GET / 304 - 10ms
2026-02-27 18:02:29 [info]: GET / 304 - 1ms
2026-03-10 11:00:12 [info]: Server started on http://localhost:5050
2026-03-10 11:03:07 [info]: GET /health 200 - 24ms
2026-03-10 11:03:07 [info]: GET /favicon.ico 404 - 3ms
2026-03-10 11:03:09 [info]: GET /health 200 - 1ms
2026-03-10 11:03:10 [info]: GET /health 200 - 1ms
2026-03-10 11:03:18 [info]: GET / 304 - 1ms
2026-03-10 11:23:36 [info]: Server started on http://localhost:5050
2026-03-10 11:23:37 [info]: Server started on http://localhost:5050
2026-03-10 11:23:38 [info]: Server started on http://localhost:5050
2026-03-10 11:23:39 [info]: Server started on http://localhost:5050
2026-03-10 11:23:40 [info]: Server started on http://localhost:5050
2026-03-10 11:23:41 [info]: Server started on http://localhost:5050
2026-03-10 11:23:41 [info]: Server started on http://localhost:5050
2026-03-10 11:23:42 [info]: Server started on http://localhost:5050
2026-03-10 11:23:43 [info]: Server started on http://localhost:5050
2026-03-10 11:23:44 [info]: Server started on http://localhost:5050
2026-03-10 11:23:45 [info]: Server started on http://localhost:5050
2026-03-10 11:23:46 [info]: Server started on http://localhost:5050
2026-03-10 11:23:47 [info]: Server started on http://localhost:5050
2026-03-10 11:23:48 [info]: Server started on http://localhost:5050
2026-03-10 11:23:49 [info]: Server started on http://localhost:5050
2026-03-10 11:23:50 [info]: Server started on http://localhost:5050
2026-03-10 11:23:51 [info]: Server started on http://localhost:5050
2026-03-10 11:23:51 [info]: Server started on http://localhost:5050
2026-03-10 11:23:52 [info]: Server started on http://localhost:5050
2026-03-10 11:23:53 [info]: Server started on http://localhost:5050
2026-03-10 11:23:54 [info]: Server started on http://localhost:5050
2026-03-10 11:23:55 [info]: Server started on http://localhost:5050
2026-03-10 11:23:56 [info]: Server started on http://localhost:5050
2026-03-10 11:23:57 [info]: Server started on http://localhost:5050
2026-03-10 11:23:58 [info]: Server started on http://localhost:5050
2026-03-10 11:23:59 [info]: Server started on http://localhost:5050
2026-03-10 11:24:00 [info]: Server started on http://localhost:5050
2026-03-10 11:24:00 [info]: Server started on http://localhost:5050
2026-03-10 11:24:01 [info]: Server started on http://localhost:5050
2026-03-10 11:24:02 [info]: Server started on http://localhost:5050
2026-03-10 11:24:03 [info]: Server started on http://localhost:5050
2026-03-10 11:24:04 [info]: Server started on http://localhost:5050
2026-03-10 11:24:05 [info]: Server started on http://localhost:5050
2026-03-10 11:24:06 [info]: Server started on http://localhost:5050
2026-03-10 11:24:07 [info]: Server started on http://localhost:5050
2026-03-10 11:24:08 [info]: Server started on http://localhost:5050
2026-03-10 11:24:09 [info]: Server started on http://localhost:5050
2026-03-10 11:24:10 [info]: Server started on http://localhost:5050
2026-03-10 11:24:10 [info]: Server started on http://localhost:5050
2026-03-10 11:24:11 [info]: Server started on http://localhost:5050
2026-03-10 11:24:12 [info]: Server started on http://localhost:5050
2026-03-10 11:24:13 [info]: Server started on http://localhost:5050
2026-03-10 11:24:14 [info]: Server started on http://localhost:5050
2026-03-10 11:24:15 [info]: Server started on http://localhost:5050
2026-03-10 11:24:16 [info]: Server started on http://localhost:5050
2026-03-10 11:24:17 [info]: Server started on http://localhost:5050
2026-03-10 11:24:18 [info]: Server started on http://localhost:5050
2026-03-10 11:24:19 [info]: Server started on http://localhost:5050
2026-03-10 11:24:20 [info]: Server started on http://localhost:5050
2026-03-10 11:24:20 [info]: Server started on http://localhost:5050
2026-03-10 11:24:21 [info]: Server started on http://localhost:5050
2026-03-10 11:24:22 [info]: Server started on http://localhost:5050
2026-03-10 11:24:23 [info]: Server started on http://localhost:5050
2026-03-10 11:24:24 [info]: Server started on http://localhost:5050
2026-03-10 11:24:25 [info]: Server started on http://localhost:5050
2026-03-10 11:24:26 [info]: Server started on http://localhost:5050
2026-03-10 11:24:27 [info]: Server started on http://localhost:5050
2026-03-10 11:24:28 [info]: Server started on http://localhost:5050
2026-03-10 11:24:29 [info]: Server started on http://localhost:5050
2026-03-10 11:24:30 [info]: Server started on http://localhost:5050
2026-03-10 11:24:31 [info]: Server started on http://localhost:5050
2026-03-10 11:24:31 [info]: Server started on http://localhost:5050
2026-03-10 11:24:32 [info]: Server started on http://localhost:5050
2026-03-10 11:24:33 [info]: Server started on http://localhost:5050
2026-03-10 11:24:34 [info]: Server started on http://localhost:5050
2026-03-10 11:24:35 [info]: Server started on http://localhost:5050
